 fem     ment    phd     mar     kid5    art 
 1  0   8   1.38    1   2   3
 2  0   7   4.29    0   0   0
 3  0   47  3.85    0   0   4
 4  0   19  3.59    1   1   1
 5  0   0   1.81    1   0   1
 6  0   6   3.59    1   1   1
 7  0   10  2.12    1   1   0
 8  0   2   4.29    1   0   0
 9  0   2   2.58    1   2   3
 10     0   4   1.8 1   1   3
 11     0   0   4.29    1   2   1
 12     0   3   2.76    1   1   0
 13     0   10  3.41    1   1   1
 14     0   7   4.34    1   3   2
 15     0   15  3.85    1   2   5
 16     0   2   2.1 1   0   2
 17     0   13  4.29    1   0   2
 18     0   15  4.29    0   0   1
 19     0   5   2.26    1   1   0
 20     0   6   2.1 0   0   0
 21     0   12  2.26    1   0   3
 22     0   16  3.85    1   1   6
 23     0   7   4.29    0   0   4
 24     0   6   1.8 1   2   2
 25     0   2   2.26    0   0   2
 26     0   0   2.1 0   0   0
 27     0   30  4.29    1   0   4
 28     0   10  4.29    1   2   1
 29     0   2   2.1 1   0   1
 30     0   1   3.59    1   0   7
 31     0   3   3.42    1   1   2
 32     0   10  4.29    1   2   2
 33     0   10  4.29    0   0   2
 34     0   1   3.34    1   2   0
 35     0   2   4.29    0   0   0
 36     0   11  4.29    1   0   1
 37     0   5   3.62    1   0   4
 38     0   0   4.29    1   3   1
 39     0   4   4.34    1   1   1
 40     0   2   1.25    1   1   2
 41     0   19  4.34    0   0   7
 42     0   3   1.67    1   3   1
 43     0   0   3.47    0   0   0
 44     0   1   2.26    1   1   1
 45     0   1   1.8 1   0   1
 46     0   17  4.34    1   2   2
 47     0   3   3.59    0   0   2
 48     0   1   1.75    1   2   1
 49     0   6   4.29    0   0   1
 50     0   0   2.1 1   1   0
 51     0   15  4.29    1   2   0
 52     0   0   2.1 1   1   0
 53     0   27  3.32    1   2   2
 54     0   5   4.34    1   0   2
 55     0   7   3.41    0   0   4
 56     0   0   4.29    1   0   1
 57     0   11  3.19    1   0   2
 58     0   13  4.29    1   0   2
 59     0   4   1.74    1   2   1
 60     0   4   2.76    0   0   1
 61     0   27  3.59    1   1   7
 62     0   10  1.81    1   0   4
 63     0   13  4.29    1   1   2
 64     0   1   4.29    1   1   1
 65     0   6   2.76    0   0   1
 66     0   6   3.47    0   0   6
 67     0   5   2.5 1   2   2
 68     0   2   1.25    1   0   5
 69     0   14  3.59    1   1   3
 70     0   0   2.1 1   1   0
 71     0   12  3.59    1   0   1
 72     0   7   3.59    1   3   0
 73     0   3   1.75    1   0   1
 74     0   2   1.75    1   2   1
 75     0   2   3.59    1   1   1
 76     0   2   4.29    0   0   1
 77     0   0   4.29    0   0   0
 78     0   0   2.1 1   1   0
 79     0   0   2.61    1   0   3
 80     0   30  4.29    1   0   5
 81     0   21  1.74    1   0   16
 82     0   5   2.76    1   0   1
 83     0   9   4.29    0   0   0
 84     0   8   2.76    1   2   1
 85     0   25  4.29    1   2   3
 86     0   0   3.47    1   1   5
 87     0   5   2.58    1   2   0
 88     0   1   2.14    1   0   0
 89     0   5   2.26    0   0   0
 90     0   0   4.29    1   2   3
 91     0   15  4.29    1   0   3
 92     0   30  4.29    0   0   3
 93     0   2   2.2 1   0   0
 94     0   6   1.8 1   2   3
 95     0   0   2.1 1   2   1
 96     0   13  4.29    1   1   1
 97     0   0   4.29    0   0   0
 98     0   12  2.1 1   1   0
 99     0   30  4.29    1   2   2
 100    0   5   1.81    1   1   1
 101    0   10  4.34    1   0   1
 102    0   5   4.29    1   1   0
 103    0   4   2.5 1   2   1
 104    0   13  2.05    1   2   4
 105    0   8   3.47    1   0   3
 106    0   6   2.61    1   1   1
 107    0   6   4.29    1   2   1
 108    0   25  4.29    0   0   2
 109    0   2   4.29    1   1   2
 110    0   9   4.34    1   0   6
 111    0   10  2.12    1   1   0
 112    0   3   2.76    1   0   2
 113    0   2   4.29    1   2   0
 114    0   0   2.5 1   0   1
 115    0   6   4.34    1   0   5
 116    0   8   2.76    1   1   2
 117    0   10  3.19    1   1   2
 118    0   8   4.62    0   0   3
 119    0   6   3.15    1   2   0
 120    0   21  2.55    1   1   4
