age	sex	compositeHourlyWages	yearsEducation
40	Male	10.56	15
19	Male	11	13
46	Male	17.76	14
50	Female	14	16
31	Male	8.2	15
30	Female	16.97	13
61	Female	6.7	12
46	Female	14	14
43	Male	19.2	18
17	Male	7.25	11
46	Male	16	7
32	Male	23	14
35	Male	36.11	17
39	Male	20.16	20
32	Male	12.61	13
30	Female	13.65	19
20	Female	9	13
48	Male	18.07	13
39	Female	16.01	19
38	Male	26.4	12
37	Male	20.65	19
37	Female	23.04	19
31	Male	24.03	18
46	Female	12	14
41	Male	25.6	13
31	Female	6.85	15
40	Male	15	12
60	Male	9.75	8
17	Female	6.7	11
39	Male	15	17
24	Male	10.5	13
52	Female	13.26	12
34	Male	17.75	18
34	Female	14.26	12
34	Male	18.05	15
40	Male	18.39	9
48	Male	18.92	10
39	Male	20.64	19
33	Female	15.49	14
62	Female	10.4	13
28	Female	15.39	15
36	Male	16.8	12
47	Female	15.36	20
53	Female	17.98	12
20	Male	6.7	14
17	Male	5	11
20	Male	12	12
31	Female	6.66	15
53	Female	14	13
34	Male	25.6	14
28	Male	18.43	17
48	Female	11.5	12
27	Male	14	8
22	Male	6.03	14
45	Female	8.23	13
51	Female	15.36	11
57	Male	13.75	8
34	Male	7.44	9
44	Female	24.96	18
54	Male	33.18	20
26	Male	11.59	13
33	Male	14.09	14
32	Male	23.52	13
48	Male	15.84	12
50	Male	23.72	9
65	Female	8.37	12
26	Female	10.2	12
23	Female	7.61	14
21	Male	6.75	10
35	Female	25.91	14
35	Female	15.94	13
28	Male	6.71	13
34	Female	20.79	12
49	Female	8.75	12
47	Male	20.99	14
42	Male	40.32	14
19	Male	8.2	14
27	Female	11	13
30	Male	15	12
60	Male	40.8	20
51	Female	8	12
45	Female	14.5	10
31	Female	9	13
51	Male	14.4	8
53	Female	12	11
18	Male	7	14
48	Male	25.92	18
41	Male	25.44	11
34	Female	10	12
56	Male	12.97	15
19	Male	7	14
18	Female	8.89	12
41	Male	21.57	9
40	Male	20.61	12
41	Male	11.11	11
55	Male	22.13	14
30	Male	13.5	17
32	Male	21.56	19
16	Male	6.75	10
25	Female	13	14
23	Male	5.54	18
17	Male	6.48	11
39	Male	40.8	16
39	Female	13.01	10
49	Male	19.17	17
31	Male	25.75	12
39	Male	30	20
40	Female	9.25	10
17	Male	5.76	10
17	Male	3.75	11
54	Male	40.96	10
41	Female	21.39	18
24	Male	3.12	17
28	Female	14.96	16
37	Male	12.55	13
21	Female	6.75	15
21	Male	10.56	11
18	Male	10.75	12
34	Female	5.17	17
50	Male	19.15	13
48	Male	35.66	20
20	Male	9.85	13
34	Female	27.8	12
31	Male	13.12	12
44	Male	41.38	11
42	Male	31.5	15
58	Female	15	17
38	Male	14.85	13
28	Male	19.2	14
63	Female	7.31	11
33	Female	13.88	12
57	Female	16	11
19	Male	7.52	11
26	Female	12.84	12
43	Female	6.42	12
31	Male	17.58	12
65	Male	15.07	5
50	Male	28.66	17
20	Female	6.06	12
34	Male	17.68	12
40	Male	28.78	16
31	Female	9.22	13
27	Male	7.6	11
53	Male	13.29	8
19	Male	7.2	14
39	Male	14.03	8
40	Male	23.04	14
40	Male	12.3	20
24	Male	21.5	13
19	Female	9.4	11
59	Male	11.5	8
22	Female	5.92	14
57	Female	27.79	13
39	Female	17.6	16
65	Male	12	6
32	Male	22.19	16
20	Male	9	14
45	Female	12.83	17
16	Male	5.9	10
26	Male	15.79	17
17	Male	7.15	11
41	Male	21.15	12
30	Female	17.14	12
34	Male	19.68	11
31	Male	10	16
20	Female	7.66	16
35	Female	7	8
55	Male	14.23	9
20	Female	6.5	16
36	Female	10.25	11
25	Male	10.5	14
25	Male	8.92	19
37	Male	26.88	13
44	Male	19.07	13
36	Female	12	14
24	Female	8.5	14
36	Female	19.67	12
38	Male	23.04	20
34	Female	15.92	20
64	Female	8.83	10
25	Female	16.46	18
56	Male	18.24	10
37	Female	12	14
58	Male	28.8	10
46	Male	34.78	18
27	Female	12.8	12
43	Female	7.5	18
57	Female	18.19	10
34	Male	21.55	12
52	Female	7	16
43	Female	11.3	12
38	Male	9.58	18
38	Female	15.43	17
38	Female	12.58	0
46	Female	16.22	15
29	Female	13.65	14
30	Female	16.8	17
31	Female	8.5	13
39	Female	20.29	20
53	Male	27.9	15
30	Male	7	12
25	Female	7.25	14
49	Female	14.75	16
40	Female	17.45	17
46	Female	16	16
23	Female	15.1	15
27	Male	9	10
28	Female	11.6	12
33	Male	16.48	12
52	Male	26.88	17
40	Female	9.65	14
44	Male	23.35	20
29	Female	10.59	12
20	Female	7.79	12
44	Male	15.05	19
19	Female	6.5	13
34	Male	4.8	10
36	Female	21.33	20
51	Female	22.99	12
24	Male	16.28	16
18	Male	7	12
50	Female	32.59	16
25	Male	9.25	9
19	Male	7	13
43	Female	21.12	17
44	Male	18	13
31	Female	19.94	12
62	Female	21.43	12
33	Male	5.8	14
42	Female	17.67	13
43	Female	16	13
38	Male	19.58	13
49	Male	15.65	14
23	Male	15.42	14
47	Female	7	13
34	Female	11.27	9
35	Male	15	11
49	Female	27.5	10
50	Female	7	8
44	Female	29.53	17
29	Male	11.97	5
30	Male	9	9
60	Male	25.6	13
37	Male	15.6	13
54	Male	11	4
35	Male	11.25	12
43	Female	32.91	18
37	Male	14.2	14
20	Male	6.85	13
44	Male	28.8	20
30	Male	6.7	12
17	Female	6.62	10
32	Female	28.54	15
50	Male	22.27	19
40	Male	30.72	20
33	Female	26.39	18
39	Male	33.28	16
23	Male	6.36	14
30	Female	12.86	13
36	Male	18.29	14
28	Female	13.6	16
28	Female	18.25	17
32	Female	16.62	9
17	Female	6.35	10
37	Male	21.81	13
18	Female	7.19	13
42	Female	25.6	18
41	Female	19	11
44	Male	13.07	16
48	Female	7	12
43	Female	40.96	17
35	Female	34.67	17
56	Female	11.25	10
54	Male	24	14
45	Female	7	14
50	Male	30.65	14
19	Male	9.1	12
50	Female	23.04	13
32	Female	20.1	17
31	Female	13.91	18
42	Male	18.72	18
30	Male	24.38	20
27	Female	6.83	13
26	Male	20.91	16
30	Female	14.85	12
52	Female	14.29	12
20	Female	8	16
37	Male	14	18
23	Male	8	13
53	Female	12	12
34	Male	17.43	17
24	Female	9.56	17
51	Female	12.13	12
32	Male	15	12
23	Male	4.82	15
45	Male	17.9	13
35	Female	12.55	12
52	Female	27.73	17
26	Female	10	14
37	Female	9.83	14
41	Female	22.23	16
43	Male	19.2	18
41	Male	7.25	12
41	Female	12	13
62	Female	32.16	18
16	Male	5	11
21	Male	24.32	16
29	Female	9.76	14
48	Male	21.6	11
31	Female	16.5	12
28	Male	15	17
27	Male	19.2	18
34	Male	15.84	16
48	Male	11.2	8
23	Male	9	15
54	Female	9.6	10
38	Female	14	17
33	Male	20	13
57	Female	8	17
36	Female	7.49	12
19	Female	8.18	13
32	Male	18.77	13
44	Female	20.76	18
60	Male	26.38	8
38	Female	10	16
38	Female	7.1	9
44	Male	33.6	13
52	Male	30.24	17
29	Female	13	18
41	Female	18.74	17
26	Female	3.15	11
55	Female	11.26	12
20	Female	7.25	12
35	Female	12.5	11
35	Female	8.8	12
62	Female	14.4	17
37	Male	24.33	15
44	Male	9	17
49	Female	21.6	13
47	Female	12.79	12
64	Male	15.36	11
53	Female	14.49	16
33	Male	14.05	15
39	Male	16.42	7
22	Female	8.97	13
60	Female	8	11
36	Female	13.5	16
29	Male	12	20
23	Female	10.25	12
55	Male	27.43	16
34	Male	11.32	17
33	Male	15.77	12
35	Male	10.87	14
38	Female	11.29	10
55	Male	28.8	12
20	Male	7.41	13
32	Male	15	13
23	Female	10.05	12
27	Male	7.08	16
37	Male	18.28	16
27	Male	11.5	13
46	Female	16	15
25	Female	15	15
47	Female	12	13
51	Female	8.13	10
53	Male	19	8
26	Female	7	18
55	Female	8.61	12
49	Female	23.46	18
28	Female	5.93	10
43	Male	19.75	17
23	Female	7.2	17
38	Female	13.44	10
50	Female	15.5	12
35	Female	7.12	12
41	Female	9.14	17
38	Female	17.88	16
27	Male	18.75	15
39	Female	20.5	17
41	Male	31.8	17
19	Female	6.75	12
33	Female	9.05	11
17	Female	7	11
37	Female	11.5	9
34	Female	11	10
49	Male	10.81	0
38	Male	25.08	14
19	Male	6.7	11
61	Female	10.2	12
51	Male	24	15
26	Male	16.3	12
51	Male	18.39	12
57	Male	3.62	13
58	Male	24	11
44	Female	16	12
36	Female	14.5	12
45	Male	22.81	8
32	Male	19.18	12
39	Female	8	11
37	Male	13.68	12
49	Female	9.42	12
38	Female	28.8	16
54	Female	28.8	14
37	Male	21.23	15
32	Female	24.46	13
41	Male	16	12
32	Female	17.07	14
46	Male	38	17
42	Male	20.1	14
50	Female	18.19	12
37	Female	8	13
23	Male	7	13
41	Female	27.84	17
61	Male	17.59	9
19	Male	7	14
45	Male	15.36	11
64	Male	14	8
34	Male	15	13
29	Female	13.59	14
17	Female	9.6	10
34	Male	17	11
62	Female	9.5	3
43	Female	17.5	12
34	Male	17.81	13
21	Male	7.16	13
17	Female	5.75	12
64	Female	15	13
53	Female	9.65	12
30	Male	18.04	15
36	Male	27.75	16
41	Female	15.36	12
47	Female	19.91	13
38	Male	12	7
21	Female	3.59	13
18	Male	7.2	11
22	Male	13	15
27	Female	7	9
24	Male	12.56	15
54	Female	6.44	7
38	Male	10	16
37	Female	13.49	10
19	Male	5.85	13
43	Male	22.7	12
42	Male	13.07	19
57	Female	6.7	6
19	Female	7	13
38	Female	20.48	11
32	Female	25.6	18
54	Female	7.75	13
20	Male	9.18	12
20	Female	7.92	13
37	Male	43.2	16
29	Female	18.74	16
36	Female	22.98	15
61	Female	14.04	9
40	Female	14.88	13
57	Female	7.6	9
24	Female	7.68	15
24	Female	6.9	16
34	Female	8.75	11
32	Female	10.96	12
41	Female	13.73	19
48	Female	27	15
54	Female	12.21	12
47	Male	30.1	13
51	Male	18.24	11
34	Female	10	12
38	Male	18.54	12
60	Male	25	11
23	Female	14.34	12
16	Female	6.73	10
57	Female	7.85	9
19	Male	6.94	14
56	Female	14.07	12
36	Male	12	12
43	Female	8	14
39	Male	28.36	15
55	Female	9.49	9
56	Female	15.04	13
42	Female	16.9	12
37	Female	27.34	14
29	Female	8.05	12
29	Male	10	15
30	Female	19.2	16
29	Female	5.6	12
51	Male	11.36	12
32	Female	18.94	16
21	Male	9.43	11
45	Female	18.21	12
